地区,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
北京市,5.3,5.7,5.2,5.4,5.2,4.97,4.92,4.75,4.56,4.41,4.27,4.31,4.52,4.92,4.95,5.2,5.3,5.58,5.49,5.19,5.39,5.72
天津市,5.94,6.04,6.04,5.97,6.01,6.07,5.86,5.94,5.7,5.58,6.08,6.12,6,6.05,5.61,5.54,5.05,5.42,5.3,5.92,6.23,6.43
河北省,6.18,6.25,6.27,6.19,6.75,6.59,6.78,6.49,6.43,6.41,6.52,6.41,6.87,6.23,5.79,6.36,6.6,6.38,6.12,7.22,7.58,7.8
山西省,5.9,6.14,6.04,6.11,6,5.73,5.97,6.01,5.98,5.38,5.61,5.83,5.57,5.93,5.56,5.52,5.45,5.32,5.85,7.02,7.32,7.73
内蒙古自治区,5.79,5.92,6.17,5.98,5.46,5.91,5.73,5.54,5.61,5.54,5.43,5.52,5.62,5.75,5.32,5.69,5.74,5.95,5.66,7.3,7.54,7.83
辽宁省,6.1,6.04,5.83,5.6,6.04,5.3,5.36,5.22,5.09,6.26,6.05,6.54,6.12,6.23,6.59,6.78,6.93,7.39,7.25,8.59,8.89,9.04
吉林省,5.38,5.11,5.64,5.63,5.32,5,5.05,5.04,4.74,5.88,5.51,5.37,5.04,6.22,5.53,5.6,6.5,6.26,6.9,7.81,8.08,8.39
黑龙江省,5.49,5.44,5.45,5.45,5.2,5.18,5.39,5.68,5.42,5.03,5.92,6.03,6.08,6.46,6.6,6.61,6.63,6.67,6.74,8.23,8.7,9.09
上海市,5.97,5.95,6.2,6,6.08,5.89,6.03,6.17,5.94,5.07,5.1,5.36,5.24,5.21,5.07,5,5.3,5.4,5.5,5.58,5.59,5.96
江苏省,6.62,6.99,7.03,7.2,7.03,7.08,7.07,7.04,6.99,6.88,6.98,6.99,7.01,7.02,7.03,7.03,7.03,7.03,7.04,6.49,6.77,7.04
浙江省,6.25,6.19,6.38,5.76,6.08,5.42,5.57,5.62,5.59,5.54,5.4,5.52,5.45,5.51,5.5,5.52,5.56,5.58,5.52,6.56,5.9,6.24
安徽省,5.85,5.17,5.2,5.5,6.23,6.3,6.4,6.6,6.6,5.95,5.91,6.14,6.06,5.89,5.94,5.96,5.9,5.96,6.04,7.96,8,8.09
福建省,5.52,5.57,5.58,5.62,5.62,5.75,5.9,5.9,6,5.16,5.2,5.73,6.01,6.2,6.1,6.2,6.2,6.2,6.1,6.24,6.28,6.52
江西省,6.06,6.02,5.98,5.99,5.96,6.01,5.99,6.01,5.98,6.06,5.98,6.14,6.28,6.26,6.24,6.16,6.08,6.06,6.03,6.61,6.71,6.94
山东省,6.24,6.62,6.64,6.49,6.31,6.1,6.11,6.16,6.08,6.26,6.4,6.95,6.4,6.84,6.67,7.05,7.4,7.18,7.5,7.25,7.36,7.64
河南省,6.26,6.38,6.46,6.47,6.3,6.27,6.32,6.45,6.46,6.57,6.62,6.71,6.76,7.02,7.05,7.11,6.97,6.8,6.84,7.15,7.36,7.5
湖北省,6.07,6.17,5.94,6.03,5.69,5.95,5.96,6.5,6,6.02,6.01,6.12,6.15,6.96,5.83,6.97,7.01,7,7.08,7.67,7.86,8.09
湖南省,6.72,6.7,6.87,6.8,6.75,6.73,6.71,7.28,6.94,6.7,6.8,7.01,6.96,6.89,6.86,7.01,7.08,7.08,7.28,7.92,8.28,8.54
广东省,5.12,5.08,5.31,5.12,4.68,4.49,4.66,4.55,4.52,4.21,4.35,4.65,4.69,4.7,4.32,4.41,4.52,4.55,4.46,4.7,4.83,4.97
广西壮族自治区,6.07,6.3,6.57,6.12,6.09,6.1,5.99,5.7,5.64,5.48,6.04,6.31,6.35,6.21,6.15,5.95,6.22,5.96,6.14,6.46,6.8,7.08
海南省,5.76,5.72,5.52,5.79,5.72,5.73,5.71,5.72,5.7,5.73,5.75,5.81,5.9,5.95,6,6,6.01,6.01,6.11,5.85,6.01,6.16
重庆市,6.9,6.08,7.2,6.6,6.4,6.5,6.3,6.3,6.2,6.4,6.71,6.86,6.77,7.05,7.19,7.24,7.27,7.54,7.57,7.7,8.04,8.09
四川省,6.79,6.55,6.06,6.27,6.8,6.28,6.29,7.15,6.43,6.62,6.81,6.92,6.9,7.02,6.94,6.99,7.03,7.01,7.09,8.48,8.74,9.04
贵州省,7.23,7.21,6.87,6.35,7.21,6.71,6.6,6.77,6.69,6.55,6.93,6.96,7.15,7.18,7.2,6.93,6.88,6.85,6.95,7.17,7.19,7.32
云南省,7.57,7.3,7.2,6.6,6.75,6.3,6.22,6.31,6.45,6.56,6.36,6.41,6.43,6.45,6.48,6.55,6.68,6.32,6.2,7.92,8.12,8.21
西藏自治区,6.5,6.07,6.3,6.2,7.15,5.7,5.1,5.2,5.07,5.55,5.13,5.21,5.39,5.21,5.1,5.11,4.95,4.58,4.46,5.37,5.47,5.48
陕西省,6.34,6.36,6.38,6.33,6.01,6.15,6.16,6.21,6.24,6.01,6.06,6.24,6.15,6.26,6.28,6.23,6.24,6.24,6.28,7.11,7.38,7.64
甘肃省,6.43,6.45,6.46,6.52,6.57,6.62,6.65,6.68,6.71,6.02,6.03,6.05,6.08,6.11,6.15,6.18,6.52,6.65,6.75,7.91,8.26,8.51
青海省,6.44,6.35,6.09,6.45,6.21,6.27,6.13,6.14,6.19,6.31,6.12,6.06,6.13,6.18,6.17,6.18,6.17,6.25,6.08,6.65,6.91,7.23
宁夏回族自治区,4.84,4.86,4.73,4.79,4.95,4.84,5.04,4.62,4.7,5.1,4.68,4.33,4.5,4.53,4.58,4.72,4.75,5.54,5.69,5.88,6.09,6.19
新疆维吾尔自治区,5.69,5.43,5.23,5.09,5.04,5.03,5.01,4.88,5.43,5.43,4.42,4.48,4.92,4.97,4.51,4.26,4.48,4.56,4.45,5.46,5.6,5.76
台湾省,5.71,5.73,5.8,5.97,6.13,5.95,6.16,6.25,6.22,6.3,6.59,6.63,6.68,7,6.98,7.33,7.27,7.33,7.47,7.34,7.83,7.62
香港特别行政区,6,6,6,6,6.3,6.3,6.3,6.3,6.3,6,6,6,6,6,6.3,6.4,6.3,6.3,6.3,7.1,7.3,8.5
澳门特别行政区,3.1,3.2,3.3,3.4,3.4,3.1,3,3.2,3.1,3.3,3.4,3.2,3.2,3.1,3.1,3.4,3.3,3.1,3.4,3.3,3.4,3.2
