地区,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北京市,102.24,109.45,105.85,102.65,98.75,101.56,99.55,104.26,104.18,101.37
天津市,100.34,120.43,114.39,111.1,115.72,123.17,123.86,105.28,105.01,113.61
河北省,104.91,102.15,104.61,103.14,101.67,104.26,102.84,98.98,98.77,99.33
山西省,103.3,107.49,106.04,108.34,104.73,102.32,104.28,104.4,104.37,103.82
内蒙古自治区,103.9,104.32,102.05,100.79,104.26,106.68,104.91,104.38,104.11,104.99
辽宁省,102.74,100.45,101.86,100.12,100.37,100.71,99.83,97.6,97.25,97.27
吉林省,103.65,102.02,103.41,102.42,102.03,101.94,101.63,100.3,99.82,99.87
黑龙江省,100.16,101.59,102.11,103.83,102.93,102.77,104.11,100.42,99.96,101.87
上海市,106.7,108.37,105.87,103.54,106.61,107.86,106.31,107.75,107.87,107.43
江苏省,101.66,103.01,101.44,103.02,103.43,103.38,103.80,103.05,103,103.75
浙江省,109.98,107.37,108.56,111.48,107.97,107.64,108.14,109.45,109.39,108.82
安徽省,98.6,104.9,105.52,104.92,106.06,102.13,105.74,104.35,104.25,105.60
福建省,108.56,105.71,103.8,104.12,108.41,107.51,106.67,107.5,107.38,107.44
江西省,109.27,106.12,108.45,108.28,105.83,104.29,104.45,107.05,106.92,105.19
山东省,102.65,104.45,104.14,101.68,100.77,101.92,100.89,103.05,102.88,101.70
河南省,102.33,103.99,103.89,104.49,102.45,102.03,102.64,101,100.79,100.95
湖北省,103.9,104.12,105.49,106.34,106.15,101.45,104.04,106.28,106.18,105.54
湖南省,105.29,102.98,104.51,101.68,101.51,103.88,101.88,105.06,104.83,103.62
广东省,118.62,113.51,113.02,113.46,117.27,118.05,116.54,111.7,111.55,113.02
广西壮族自治区,108.36,105.57,108.43,109.2,108.47,106.98,108.09,107.47,107.25,107.62
海南省,115.37,110.47,111.46,110.02,104.69,106.34,103.33,113.47,113.36,108.25
重庆市,105.88,100.6,103.37,99.57,100.35,100.17,98.35,102.33,102.04,99.77
四川省,98.23,100.89,99.73,101.93,98.67,96.73,98.17,102.03,101.78,100.57
贵州省,104.68,107.12,106.65,107.23,109.37,107.42,109.18,104.79,104.55,106.59
云南省,105.4,104.98,102.16,107.41,107.67,104.14,106.00,106.34,106.1,106.52
西藏自治区,101.07,102.33,102.18,100.85,98.98,100.31,99.44,110.04,109.7,107.07
陕西省,107.05,102.59,101.93,97.38,100.47,103,98.95,104.26,104.1,101.60
甘肃省,107.6,106.18,102.85,103.27,103.65,102.19,100.87,103.45,103.21,101.13
青海省,101.09,109.29,105.8,105.93,108.34,106.91,108.86,101.19,100.95,103.89
宁夏回族自治区,105.8,106.16,106.7,96.91,98.27,105.95,100.03,104.11,103.89,101.58
新疆维吾尔自治区,104.5,104.12,104.48,102.12,99.76,101.73,99.86,107.29,107.03,104.26
